emp_no,salary
100010,71957
100140,59302
100227,89821
100263,88882
100320,46470
100553,75979
100704,98007
100735,66891
100768,50753
10096,68612
100964,70372
101021,74902
101122,65597
101205,42529
101261,74805
101272,89625
102113,55023
102521,65832
102536,44399
102539,63314
102684,78481
102745,54809
102944,48531
102952,83797
103050,87112
103123,66946
103368,75292
103432,59611
10351,49802
103634,57968
104344,93612
10436,73708
104454,43984
104603,80132
104665,55874
104870,98838
105344,64329
105435,54143
105705,68009
105758,73057
106022,91777
106090,55483
106506,72101
106510,66779
106585,64559
106688,44229
106768,60910
107594,49996
107697,69438
107790,93920
107930,86527
108231,52962
108456,76077
108629,90814
108791,99177
108800,52607
109126,96577
109180,94368
109514,92433
109519,94045
109653,51234
109818,81539
11078,70352
11332,59974
11563,76312
11722,54690
11888,67952
12394,47678
12529,66408
12847,69468
13192,65550
13282,64843
13442,73936
13610,52492
13772,74363
13865,79534
14157,60497
14204,50689
14369,66003
14838,70086
14887,62376
14899,89313
15269,94562
15271,97411
15555,59273
15574,90735
15634,55858
16250,46992
16320,62667
16504,63530
16576,57981
16974,91937
17401,50517
17427,63578
17506,67464
17686,78849
17714,66128
18130,59107
18306,97022
18314,47551
18333,58379
18509,64213
18556,71972
18574,67176
18634,74213
18726,48922
18947,59316
18992,52145
19095,56899
19132,46128
19338,66201
200002,76726
200138,83595
200206,45651
200296,80587
200853,67307
201029,50048
201103,63029
201124,40000
201179,67724
201436,51793
20158,53710
201828,64475
202133,82804
20219,70313
202333,70400
202668,80493
203142,48848
203205,97570
203525,69521
203605,71001
203663,99140
203756,72386
203842,67771
203957,56878
204081,53437
204088,67749
20428,98836
204835,59617
204947,72043
205069,71120
205075,60416
205117,59376
20512,55002
205151,51340
205346,73634
205378,54736
20569,61256
205704,73756
205789,53868
205865,64874
205869,68269
206008,72005
206261,78396
206292,80039
206436,69729
206477,66988
206495,64234
206668,68748
206681,48945
206726,72188
207060,90851
207116,55473
207330,93027
207444,58707
207586,92291
207709,46372
207797,61997
208072,67289
208246,85730
208630,40000
208646,84134
20868,66407
208687,71244
209039,57909
209567,67723
209643,98924
209657,71979
210428,89371
210636,57414
210783,66145
211278,56935
211387,59515
211792,51086
212118,70956
212148,99864
212214,95805
212249,63011
21248,63633
21249,87224
21259,82863
213151,56632
21331,95982
213658,81431
213696,57364
214235,45381
214499,69698
21452,96800
214934,58459
214945,123240
215094,98108
215219,56791
215614,46884
215726,71646
215904,68471
216438,97448
216824,52760
217048,87757
217264,73533
217501,56575
21783,97313
218214,98202
218377,78690
218401,79682
218661,76280
21889,54019
21894,91580
219090,90072
219143,96967
219490,59798
219694,60766
219750,83942
220290,97344
220295,52020
220616,72938
220725,97824
22121,46007
221344,79968
221854,70054
222071,65071
222379,77150
222457,98896
22254,55499
222581,48096
222631,62297
223190,59417
223363,58756
223506,45211
223603,79197
224178,79487
224439,68934
224672,55218
224688,77828
225128,55127
225241,55832
225816,69578
225914,90203
22596,74766
226330,56583
226441,73048
22728,99580
227347,70095
227447,67207
227553,99482
227591,74273
227734,58397
227962,85829
228411,69072
229015,60001
229137,64862
229171,98651
229208,97955
229629,63602
229650,98339
229795,73815
229944,95360
230106,64443
230249,61056
230265,81159
230289,88427
230646,76317
23097,59658
231134,70038
231163,99430
231339,69679
231436,68122
231542,89640
231563,58142
231583,72326
231709,86074
231775,53163
231898,74172
232050,99356
232238,48356
232289,73530
232390,51083
232495,95592
232709,70933
23318,56815
233446,80723
233463,42446
233505,81958
233638,74598
233815,76707
234035,56334
234036,58311
234149,47566
234169,78581
234214,66248
234317,50668
234393,75127
23459,106892
234737,64776
234793,74506
234938,55645
235119,68939
235290,68126
235610,83289
235789,47809
235836,58181
236387,97572
236624,54934
237127,48936
237199,57825
237683,63590
237724,70152
237800,58657
237924,51628
237954,52466
238274,40284
238301,80249
23843,97670
238446,64956
238447,47423
238454,70327
238564,45328
238752,79811
239013,60269
239026,73178
239052,74290
23918,66645
239352,81015
239830,68548
239945,72535
239980,68388
240200,91680
240472,40000
240684,52406
241028,91773
241048,69338
241083,54140
241126,95422
24114,74790
241145,73680
241495,82384
241854,89059
241950,75646
242097,99195
242483,96650
242533,83421
24269,86856
242791,60954
243265,67287
243698,93033
243718,99484
243896,98585
244270,77812
244327,66773
244335,112001
244399,48746
244664,74945
24504,58403
245090,75690
245108,80185
245151,68448
245286,61832
245586,64765
245597,99461
245636,51373
245745,99752
245795,74968
245841,59470
245949,81622
245965,69039
246050,57377
246216,43202
246259,56592
246506,63872
247014,58262
247020,52200
247030,77400
247256,125132
247745,44811
247860,90475
248380,53419
248588,97866
248828,52245
248938,68869
249011,62569
249223,54537
249248,92704
249357,61054
249358,67899
249529,40077
249851,135523
249908,40000
250006,98846
250056,68683
250244,97681
25032,79573
250487,41997
250597,90985
250607,61733
250766,72447
250891,40060
251284,45156
252136,51933
252772,60040
252858,44141
252900,57521
253025,42854
253045,58963
253260,72835
253405,52770
253438,74356
254602,74852
254604,79162
254821,78202
254915,83426
255342,88734
255352,56378
255431,73683
255542,53871
25555,45321
255610,93326
255627,65036
255785,136850
255826,78892
255873,53791
256062,73158
256465,83666
256543,67961
256725,77388
256904,76399
256976,51003
257034,75593
257651,61750
257784,68743
257854,44208
258328,63937
258688,91407
258927,77510
258932,75858
25894,98274
258973,59472
258985,97097
259119,66092
25912,65678
